countyFIPS,State,2020_total,2021_total,2022_total
6053,CA,16162,193758,268963
6055,CA,2757,29428,52128
6057,CA,1914,28865,46390
6059,CA,264394,1861215,2576961
6061,CA,11064,121651,228162
6063,CA,44,2114,4718
6065,CA,254121,1658269,2332756
6067,CA,88268,655689,1121823
6069,CA,2137,21991,33819
6071,CA,230791,1887935,2722547
6073,CA,177573,1371945,1929055
6075,CA,27091,204433,336352
6077,CA,86162,541518,813125
6079,CA,5994,100221,177339
6081,CA,36086,191130,252609
6083,CA,21347,167594,252406
6085,CA,73907,628006,851697
6087,CA,4688,73835,96211
6089,CA,6481,87157,201497
6091,CA,0,0,1270
6093,CA,212,10918,30353
6095,CA,15090,100250,160857
6097,CA,18687,121595,180068
6099,CA,65718,376897,602086
6101,CA,3091,49611,80716
6103,CA,2208,28096,71215
6105,CA,74,2021,7340
6107,CA,56849,318097,528810
6109,CA,1259,23579,64621
6111,CA,31360,370658,544421
6113,CA,13660,80514,120300
6115,CA,1449,17605,39271
0,CO,134,1,0
8001,CO,55361,267173,479580
8003,CO,2122,13372,22565
8005,CO,91843,276364,442147
8007,CO,0,1003,5454
8009,CO,8,1563,4521
8011,CO,211,8556,17312
8013,CO,21586,87059,136996
8014,CO,8882,28258,42759
8015,CO,4891,9828,17912
8017,CO,88,2268,3285
8019,CO,293,1297,4241
8021,CO,143,7675,19952
8023,CO,156,2008,6199
8025,CO,558,6508,10929
8027,CO,0,1485,7336
8029,CO,1034,25913,51204
8031,CO,105841,311744,496734
8033,CO,0,503,2850
8035,CO,17478,93544,159071
8037,CO,2519,9083,13063
8039,CO,744,5990,14793
8041,CO,46408,334279,622998
8043,CO,514,25965,68819
8045,CO,1477,18352,34369
8047,CO,31,1069,1459
8049,CO,274,3158,9847
8051,CO,1665,2793,5066
8053,CO,0,0,0
8055,CO,629,6640,12814
8057,CO,0,0,0
8059,CO,69496,297901,501777
8061,CO,29,1173,2130
8063,CO,945,4956,11737
8065,CO,0,313,731
8067,CO,878,16177,31333
8069,CO,12240,95252,186860
8071,CO,98,5826,15831
8073,CO,47,1782,3285
8075,CO,3089,26118,40403
8077,CO,4911,96371,207593
8079,CO,23,366,622
8081,CO,664,10671,19200
8083,CO,1303,10777,28614
8085,CO,3624,25860,60302
8087,CO,11777,35344,50009
8089,CO,1606,26170,47187
8091,CO,360,1455,2190
8093,CO,302,2425,7166
8095,CO,167,4751,6720
8097,CO,572,1620,2436
8099,CO,871,9176,18163
8101,CO,14893,158335,293908
8103,CO,72,2075,4890
8105,CO,541,6691,16567
8107,CO,2120,7626,10190
8109,CO,485,2212,4318
8111,CO,0,58,0
8113,CO,0,624,2869
8115,CO,191,1148,3445
8117,CO,890,3117,5157
8119,CO,888,7814,21221
8121,CO,389,5336,10027
8123,CO,40271,138275,254488
8125,CO,248,6315,8956
0,CT,168,1638,869
9001,CT,353605,792288,985203
9003,CT,354067,881110,1138472
9005,CT,36542,109030,166241
9007,CT,46265,133628,174829
9009,CT,276751,761325,1024084
9011,CT,30183,161545,239582
9013,CT,17261,66090,99315
9015,CT,4935,69980,109974
0,DE,16,11,63
10001,DE,25849,130068,237627
10003,DE,70953,308565,519518
10005,DE,48817,187373,314508
0,DC,0,0,0
11001,DC,146286,403347,492554
0,FL,4,2786475,14275631
12001,FL,11382,95482,104025
12003,FL,3238,21533,22630
12005,FL,19143,135622,143810
12007,FL,2057,19729,21170
12009,FL,53237,309816,333610
12011,FL,254351,1038202,1123835
12013,FL,2690,15800,16425
12015,FL,29555,148128,159505
12017,FL,20121,159053,168995
12019,FL,20711,120444,128480
12021,FL,42062,188447,201115
12023,FL,10425,59738,62050
12027,FL,5452,32718,35405
12029,FL,1516,8081,8760
12031,FL,75619,495487,541295
12033,FL,41937,243271,257690
12035,FL,5213,37889,41610
12037,FL,550,6418,7300
12039,FL,7617,33968,36135
12041,FL,2280,14813,16060
12043,FL,1076,6516,6935
12045,FL,2287,15464,16425
12047,FL,1424,8580,9125
12049,FL,2227,14696,16425
12051,FL,8317,29371,31755
12053,FL,23956,164505,175930
12055,FL,17676,124311,133590
12057,FL,124058,620977,668680
12059,FL,1623,17073,17885
12061,FL,19104,104887,111690
12063,FL,12518,55932,57670
12065,FL,1759,9585,10220
12067,FL,2062,9264,9490
12069,FL,31714,224025,241995
12071,FL,89801,348980,368285
12073,FL,14942,112998,121180
12075,FL,1718,17865,20440
12077,FL,1591,5749,5840
12079,FL,3585,15865,16425
12081,FL,59196,236798,251485
12083,FL,46671,334902,363540
12085,FL,25099,114664,122275
12086,FL,581458,2222137,2362280
12087,FL,3964,17962,18980
12089,FL,6671,43622,46355
12091,FL,19537,127725,133955
12093,FL,4878,30679,32485
12095,FL,85036,447110,478150
12097,FL,30759,179933,193085
12099,FL,263111,993560,1052295
12101,FL,37380,268806,292730
12103,FL,133647,577568,609915
12105,FL,95187,471341,506255
12107,FL,7717,53126,58400
12109,FL,12538,75662,80665
12111,FL,50348,224647,239805
12113,FL,13431,100204,106215
12115,FL,54836,290707,308060
12117,FL,36381,175953,188340
12119,FL,13609,95644,103660
12121,FL,13039,49099,51100
12123,FL,2309,16427,17520
12125,FL,5035,26495,27010
12127,FL,48348,282206,308790
12129,FL,1818,19293,20440
12131,FL,5082,30839,32485
12133,FL,4047,17795,18980
0,GA,31069,258987,540586
13001,GA,6077,27803,46537
13003,GA,1006,8646,18126
13005,GA,2511,15273,27797
13007,GA,987,3790,5371
13009,GA,11701,51042,87360
13011,GA,1418,15880,33696
13013,GA,9345,53956,93442
13015,GA,17712,91374,162890
13017,GA,3931,29248,44021
13019,GA,1810,17264,30705
13021,GA,29548,173296,284874
13023,GA,3423,19619,36210
13025,GA,2076,18051,39426
13027,GA,4683,18758,31869
13029,GA,2461,16423,34098
13031,GA,4743,46119,95835
13033,GA,2187,21865,40028
13035,GA,9093,32482,57487
13037,GA,1897,6099,8451
13039,GA,2179,19321,44715
13043,GA,3110,23323,36176
13045,GA,14209,85848,166084
13047,GA,3693,28653,62788
13049,GA,1407,13425,22753
13051,GA,28236,179733,326752
13053,GA,170,5314,7951
13055,GA,3536,28194,49170
13057,GA,18249,124182,228616
13059,GA,8239,52802,85032
13061,GA,622,1205,2167
13063,GA,31833,192427,355798
13065,GA,1634,10118,15140
13067,GA,87719,400263,668681
13069,GA,9786,64158,102557
13071,GA,7029,46673,90043
13073,GA,10015,78543,141363
13075,GA,2382,16761,27246
13077,GA,9038,88563,177599
13079,GA,704,9036,20659
13081,GA,4102,29926,49714
13083,GA,885,5276,11572
13085,GA,1556,18117,36539
13087,GA,5287,27545,47495
13089,GA,70821,379550,633975
13091,GA,3232,36110,56180
13093,GA,3730,16214,25294
13095,GA,44897,118182,182919
13097,GA,14150,82006,147855
13099,GA,8248,17750,22903
13101,GA,308,2862,4290
13103,GA,3742,34293,71789
13105,GA,1470,25254,40279
13107,GA,5123,31978,58035
13109,GA,922,11957,23576
13111,GA,3336,27850,58094
13113,GA,9431,64343,119828
13115,GA,9964,92399,187984
13117,GA,8901,74080,146106
13119,GA,2371,20662,37090
13121,GA,117390,518887,855478
13123,GA,2797,33845,64288
13125,GA,290,5831,9171
13127,GA,14840,79215,147640
13129,GA,8103,48289,97622
13131,GA,3554,23786,40054
13133,GA,4148,21665,30928
13135,GA,78865,427816,690382
